Fight Odds,Result,Height,Weight,Reach,Wins,Losses
+146,Win,109.6,239.3,106.5,40,11
+225,Win,109.6,239.3,106.5,40,11
-704,Win,109.6,239.3,106.5,40,11
-145,Win,109.6,239.3,106.5,40,11
-150,Win,109.6,239.3,106.5,40,11
+124,Win,109.6,239.3,106.5,40,11
-375,Loss,109.6,239.3,106.5,40,11
-135,Win,109.6,239.3,106.5,40,11
+165,Win,109.6,239.3,106.5,40,11
-350,Loss,109.6,239.3,106.5,40,11
-230,Loss,109.6,239.3,106.5,40,11
-140,Win,109.6,239.3,106.5,40,11
-270,Loss,109.6,239.3,106.5,40,11
+100,Win,109.6,239.3,106.5,40,11
-185,Win,109.6,239.3,106.5,40,11
-260,Win,109.6,239.3,106.5,40,11
-315,Win,109.6,239.3,106.5,40,11
-165,Win,109.6,239.3,106.5,40,11
+150,Win,109.6,239.3,106.5,40,11
-380,Win,109.6,239.3,106.5,40,11
-475,Win,109.6,239.3,106.5,40,11
-385,Win,109.6,239.3,106.5,40,11
+100,Win,109.6,239.3,106.5,40,11
-245,Win,109.6,239.3,106.5,40,11
-245,Win,109.6,239.3,106.5,40,11
+150,Win,109.6,239.3,106.5,40,11
+160,Loss,109.6,239.3,106.5,40,11
-350,Loss,109.6,239.3,106.5,40,11
-190,Win,109.6,239.3,106.5,40,11
-145,Win,109.6,239.3,106.5,40,11
+310,Win,109.6,239.3,106.5,40,11
